['1', 'Self Locking Retaining Ring', 'SM', '0', ['1', '1', '1', '1', '1'], '22', '100', '0']
['2', 'Self Locking Retaining Ring', 'LG', '0', ['1', '1', '1', '1', '1'], '32', '0', '0']
['3', 'Flat Washer', '7/16', '0', ['1', '1', '1', '1', '1'], '2', '0', '0']
['4', 'Flat Washer', '9/16', '0', ['1', '1', '1', '1', '1'], '56', '0', '0']
['5', 'Lock Washer', '1/2', '0', ['1', '1', '1', '1', '1'], '56', '0', '0']
['6', 'Lock Washer', '3/8', '0', ['1', '1', '1', '1', '1'], '56', '0', '0']
['7', 'Flat Washer', '3/8', '0', ['1', '1', '1', '1', '1'], '68', '0', '0']
['8', 'Flat Washer', '5/8', '0', ['1', '1', '1', '1', '1'], '21', '0', '0']
['9', 'M5', '.5', '0', ['1', '1', '1', '1', '1'], '45', '0', '0']
['10', 'Tee Nut', '6/32', '0', ['1', '1', '1', '1', '1'], '57', '0', '0']
['11', 'Tee Nut', '8/32', '0', ['1', '1', '1', '1', '1'], '69', '0', '0']
['12', 'Washers', '1/2', '0', ['1', '1', '1', '1', '1'], '22', '0', '0']
['13', 'Tee Nuts', 'Assorted', '0', ['1', '1', '1', '1', '1'], '22', '0', '0']
['14', 'Small Nuts', 'Assorted', '0', ['1', '1', '1', '1', '1'], '34', '0', '0']
['15', 'Medium Nuts', 'Assorted', '0', ['1', '1', '1', '1', '1'], '46', '0', '0']
['16', 'Large Nuts', 'Assorted', '0', ['1', '1', '1', '1', '1'], '56', '0', '0']
['17', 'Nylon Inset Nut', '8/32', '0', ['1', '1', '1', '1', '1'], '70', '0', '0']
['18', 'Nuts', '3/8-16', '0', ['1', '1', '1', '1', '1'], '23', '0', '0']
['19', 'Nails', '1/2', '0', ['1', '1', '1', '1', '1'], '35', '0', '0']
['20', 'Nylon Inset Nut', '5/16-18', '0', ['1', '1', '1', '1', '1'], '40', '0', '0']
['21', 'Assorted Screws', '1/4-20', '0', ['1', '1', '1', '1', '1'], '71', '0', '0']
['22', 'SHS', '5/16-18x5/8', '0', ['1', '1', '1', '1', '1'], '24', '0', '0']
['23', 'SHS', '10-32x3/4', '0', ['1', '1', '1', '1', '1'], '36', '0', '0']
['24', 'SHS', '10-32x1', '0', ['1', '1', '1', '1', '1'], '48', '0', '0']
['25', 'Coupling Nuts', 'Assorted', '0', ['1', '1', '1', '1', '1'], '60', '0', '0']
['26', 'Cap Head Screw & Washer', 'M1.5x15.5', '0', ['1', '1', '1', '1', '1'], '72', '0', '0']
['27', 'Plastic Screws', '8/32', '0', ['1', '1', '1', '1', '1'], '25', '0', '0']
['28', 'SHS', '1/4-20x1', '0', ['1', '1', '1', '1', '1'], '49', '0', '0']
['29', '10-32 PHS', 'Assorted', '0', ['1', '1', '1', '1', '1'], '73', '0', '0']
['30', 'Phil-Pan', 'M4x20', '0', ['1', '1', '1', '1', '1'], '26', '0', '0']
['31', 'Phil-Pan', '1/4-20-3/4', '0', ['1', '1', '1', '1', '1'], '38', '0', '0']
